borough,neighbourhoods,Latitude,Longitude,Postal,population(2014)
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,"10510,10520,10570",84864
KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,-6.1715037344699,106.81750964695999,"10110,10120,10130,10140,10150,10160",78152
KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,-6.1830500003962,106.85432000684,"10530,10540,10550,10560",117440
KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,-6.1627704449715,106.85925894753001,"10610,10620,10630,10640,10650",220548
KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,-6.195168877597901,106.83815679972,"10310,10320,10330,10340,10350",68079
KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,-6.1555406005689,106.83266467023,"10710,10720,10730,10740,10750",100461
KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,-6.1848849999655,106.84543927691999,"10410,10420,10430,10440,10450,10460",95502
KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,-6.205417411915599,106.80746460152001,"10210,10220,10230,10240,10250,10260,10270",145345
KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,-6.1270359870321,106.93986039607,"14110,14120,14130,14140,14150",397467
KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,-6.159690469487599,106.90056247628999,"14240,14250",156664
KOTA ADMINISTRASI JAKARTA UTARA,KOJA,-6.1205157961719,106.90623456501,"14210,14230,14260,14270",302703
KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,-6.1285740069834995,106.84031463024,"14410,14420,14430",158293
KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,-6.1171337549693,106.76070845948,"14440,14450,14460,14470",328053
KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,-6.128532228460901,106.87066450033001,"14310,14320,14330,14340,14350,14360,14370",386264
KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,-6.1854669815153,106.93611173277,"13910,13920,13930,13940,13950,13960",523159
KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,-6.3275454184868005,106.90306798478001,"13810,13820,13840,13850,13860,13870,13880,13890",260578
KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,-6.3289267090063,106.8789750001,"13720,13730,13740,13750,13830",267311
KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,-6.2340236610244,106.92036935642,"13430,13440,13450,13460,13470",394657
KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,-6.229274999956,106.87621764625,"13310,13320,13330,13340,13350,13410,13420",271216
KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,-6.2747500000367,106.86534416863,"13510,13520,13530,13540,13550,13630,13640",286112
KOTA ADMINISTRASI JAKARTA TIMUR,MAKASAR,-6.270899999957201,106.89717876927,"13560,13570,13610,13620,13650",195678
KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,-6.2038299734579,106.86202624040001,"13110,13120,13130,13140,13150",150155
KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,-6.3249584679601005,106.85576613983,"13710,13760,13770,13780,13790",204678
KOTA ADMINISTRASI JAKARTA TIMUR,PULO GADUNG,-6.1907917134334,106.89162863483,"13210,13220,13230,13240,13250,13260",264450
KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,-6.2898023349729,106.79035217705,"12410,12420,12430,12440,12450",197524
KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,-6.330416533499499,106.82546326999001,"12530,12610,12620,12630,12640",356271
KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,-6.243218907078901,106.80134054988001,"12110,12120,12130,12140,12150,12160,12170,12180,12190",143098
KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,-6.2493208870503,106.78038159786999,"12210,12220,12230,12240,12310",303528
KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,-6.250284999929,106.82201535829,"12710,12720,12730,12790",144850
KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,-6.257947781924501,106.84364142871999,"12740,12750,12760,12770,12780",152017
KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,-6.292043483072799,106.83082629222,"12510,12520,12540,12550,12560",300646
KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,-6.254296964545599,106.75518808778999,"12250,12260,12270,12320,12330",218866
KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,-6.2217770794945,106.83038932742,"12910,12920,12930,12940,12950,12960,12970,12980",136552
KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,-6.2255232294237,106.85076425666,"12810,12820,12830,12840,12850,12860,12870",210356
KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,-6.154879438023701,106.73797413991,"11710,11720,11730,11740,11750",555972
KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,-6.1639652550589,106.78656050253001,"11440,11450,11460,11470",232697
KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,-6.1461656530088,106.81937467167,"11110,11120,11130,11140,11150,11160,11170,11180",110008
KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,-6.1463210107687996,106.80068515696999,"11210,11220,11230,11240,11250,11260,11270,11310,11320,11330",239474
KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,-6.1915512955549,106.76562713996,"11510,11520,11530,11540,11550,11560",357788
KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,-6.1361466320507,106.70889961440001,"11810,11820,11830,11840,11850",431296
KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,-6.1909948377956,106.79637337347,"11410,11420,11430,11480",202373
KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,-6.191140471555,106.74130492346,"11610,11620,11630,11640,11650",300802
